17,03	67,5
17,07	57,5
17,11	72
17,15	67
17,19	67
17,23	72,5
17,27	76
17,31	73
17,35	72
17,39	65,5
17,43	62
17,47	77,5
17,51	76,5
17,55	75
17,59	70
17,63	69
17,67	80,5
17,71	76,5
17,75	79
17,79	74,5
17,83	79,5
17,87	91,5
17,91	80,5
17,95	96
17,99	101,5
18,03	112,5
18,07	120,5
18,11	138,5
18,15	162
18,19	158
18,23	194,5
18,27	208,5
18,31	220
18,35	218,5
18,39	178,5
18,43	159
18,47	144
18,51	122
18,55	103,5
18,59	90,5
18,63	73
18,67	73,5
18,71	70
18,75	72
18,79	69,5
18,83	78
18,87	53,5
18,91	77
18,95	59,5
18,99	71
19,03	72
19,07	56
19,11	72
19,15	62
19,19	71
19,23	65,5
19,27	61,5
19,31	58,5
19,35	61,5
19,39	67,5
19,43	67,5
19,47	56,5
19,51	56,5
19,55	65
19,59	61
19,63	63
19,67	51
19,71	78
19,75	62
19,79	58
19,83	55
19,87	63
19,91	68,5
19,95	58,5
19,99	71,5
20,03	67
20,07	53,5
20,11	63
20,15	72,5
20,19	61
20,23	60
20,27	51,5
20,31	62,5
20,35	66,5
20,39	66
20,43	61
20,47	52
20,51	53
20,55	50
20,59	66
20,63	59
20,67	68
20,71	66
20,75	67,5
20,79	71,5
20,83	65,5
20,87	76
20,91	64,5
20,95	88
20,99	90,5
21,03	89
21,07	89,5
21,11	106
21,15	88
21,19	86
21,23	85,5
21,27	73
21,31	76
21,35	75,5
21,39	59,5
21,43	59,5
21,47	57,5
21,51	62
21,55	54
21,59	57,5
21,63	56,5
21,67	55,5
21,71	56
21,75	62
21,79	44
21,83	55
21,87	56,5
21,91	55
21,95	44,5
21,99	49
22,03	53
22,07	53,5
22,11	51
22,15	46
22,19	51,5
22,23	56,5
22,27	51,5
22,31	54
22,35	46,5
22,39	39,5
22,43	46
22,47	47
22,51	51
22,55	48,5
22,59	49
22,63	49
22,67	51
22,71	44
22,75	49,5
22,79	39,5
22,83	58
22,87	55,5
22,91	44
22,95	53
22,99	47
23,03	47,5
23,07	51
23,11	49
23,15	47,5
23,19	44,5
23,23	42
23,27	51,5
23,31	52
23,35	47,5
23,39	51
23,43	56,5
23,47	42
23,51	39,5
23,55	38
23,59	46,5
23,63	43,5
23,67	42
23,71	39,5
23,75	52
23,79	47,5
23,83	42,5
23,87	53
23,91	49,5
23,95	37
23,99	36,5
24,03	48,5
24,07	41
24,11	47
24,15	37,5
24,19	42,5
24,23	43,5
24,27	41,5
24,31	43,5
24,35	34,5
24,39	38
24,43	39
24,47	35
24,51	38,5
24,55	30,5
24,59	35,5
24,63	39,5
24,67	36
24,71	37
24,75	45
24,79	32,5
24,83	34
24,87	39
24,91	39,5
24,95	40,5
24,99	36,5
25,03	42,5
25,07	33
25,11	34
25,15	38,5
25,19	29,5
25,23	38,5
25,27	30,5
25,31	31
25,35	40,5
25,39	36
25,43	38,5
25,47	36
25,51	32
25,55	33,5
25,59	37
25,63	32,5
25,67	33,5
25,71	31
25,75	34
25,79	35,5
25,83	38
25,87	32
25,91	33
25,95	36,5
25,99	36,5
26,03	35
26,07	39,5
26,11	25,5
26,15	35
26,19	27,5
26,23	33,5
26,27	26,5
26,31	31,5
26,35	35,5
26,39	28,5
26,43	27,5
26,47	28,5
26,51	39
26,55	31,5
26,59	33,5
